시군구명,관측소명,경도(WGS84좌표),위도(WGS84좌표),관측기관,운영기관,관측개시연도,관측소유형,운영상태,소재지지번주소,특이사항,관측장비,관측내용
강릉시,강릉시청,128.8760583,37.7518458,강릉시,강릉시,2014,지진관측소,운영,강원도 강릉시 홍제동 1001,,가속도계,지진가속도
고성군,고성군청,128.4680551,38.3805632,고성군,행정안전부,2014,지진관측소,운영,강원도 고성군 간성읍 하리 12,기록계 고장으로 교체 예정,기록계 geosig GMS+,지진가속도 계측데이터 관측
동해시,동해시청(지하3축센서),129.114494,37.5250249,동해시,동해시,2016,지자체 재난상황실,운영,강원도 동해시 천곡동 806,,가속도계,"지진신호 3축(x,y,z)"
동해시,동해시청(최상층2축센서),129.114494,37.5250249,동해시,동해시,2016,지자체 재난상황실,운영,강원도 동해시 천곡동 806,,가속도계,"지진신호 2축(남-북, 동-서)"
동해시,동해시청(최상층1축센서),129.114494,37.5250249,동해시,동해시,2016,지자체 재난상황실,운영,강원도 동해시 천곡동 806,,가속도계,지진신호 1축(수직U-D)
동해시,동해시청,129.114494,37.5250249,동해시,동해시,2016,지자체 재난상황실,운영,강원도 동해시 천곡동 806,,가속도계,"지진신호 3축(x,y,z)"
동해시,동해시청 신관(재난상황실),129.114494,37.5250249,동해시,동해시,2016,지자체 재난상황실,운영,강원도 동해시 천곡동 806,,기록계,지진신호처리
속초시,속초시청,128.5922597,38.2073706,속초시,국민안전처,2014,지진관측소,운영,강원도 속초시 중앙동 469-6,기록계,가속도계 ,지진가속도 계측 데이터 관측
양구군,양구군청 ,127.9923897,38.1104458,행정안전부,양구군,2015,지진관측소,운영,강원도 양구군 양구읍 하리 34-5,기록계,지진기록계1식 지진관측시스템 부대장비 및 설치 1식,지진가속도
양양군,양양군청,128.6191583,38.0756503,기상청,양양군,2015,지진관측소,운영,강원도 양양군 양양읍 군청길1,,"센서, 자유장, 기록계",지진계측
양양군,양수발전소,128.5422133,38.0119521,기상청,양수발전소,2012,지진관측소,운영,강원도 양양군 서면 영덕리 산74-1,,"센서, 자유장, 기록계",지진계측
양양군,양양공항,128.5422133,38.0119521,기상청,양양공항,2013,지진관측소,운영,강원도 양양군 서면 영덕리 산74-1,,"센서, 자유장, 기록계",지진계측
원주시,원주시청,127.9187,37.3409214,행정안전부,행정안전부,2013,지진관측소,운영,강원도 원주시 무실동 1,없음,"자유장센서, 기록계, 가속도계",이벤트 발생
인제군,인제군청,128.169734,38.0695361,인제군,인제군,2013,지진관측소,운영,강원도 인제군 인제읍 상동리 349-6번지,,가속도계,지진가속도
정선군,정선군청 별관,128.6613918,37.3782494,정선군,정선군,2012,지진관측소,운영,강원도 정선군 정선읍 봉양리 267,,"가속도계, 기록계",지진발생
철원군,철원군청,127.3125449,38.1465863,국민안전처,철원군,2014,지진계측기,운영,강원도 철원군 갈말읍 신철원리 649,,"센서, 자유장, 기록계",지진
태백시,태백시청,128.9868699,37.1626608,태백시,태백시,2014,지진관측소,운영,강원도 태백시 황지동 244-3,없음,기록계,지진
평창군,평창군청,128.3901368,37.3709597,평창군,평창군,2012,지진관측소,운영,강원도 평창군 평창읍 하리 210-2,,기록계,지진진호
홍천군,홍천군청 별관,127.8888694,37.6967679,홍천군,홍천군,2015,지진관측소,운영,강원도 홍천군 홍천읍 희망리 181,없음,"지진가속도센서, 지진계측기, 지진신호모니터링, 자유장계측장치",지진발생
화천군,화천군청,127.7081308,38.1062847,화천군,강원도,2015,지진가속도계측기,운영,강원도 화천군 화천읍 아리 239,없음,가속도계,정상수신여부
횡성군,횡성군청,127.9850466,37.4917027,횡성군,횡성군,2014,지진가속도계측기,운영,강원도 횡성군 횡성읍 읍하리 58-1,안전성 평가 결과 이상발생,"센서, 자유장, 기록계",지진가속도 계측
